MAKE_MODEL CODE;VARIABLE CODE(S);MODEL_MANUFACTURER *INFO*;MODEL *INFO*;SENSOR_TYPES *INFO*
GENERIC_BAROGRAPH_SMALL_SCALE;ATMPRESS;;BAROGRAPH_SMALL_SCALE;BAROGRAPH_SMALL_SCALE
GENERIC_BAROMETER;ATMPRESS;;BAROMETER;BAROMETER_GENERIC
GENERIC_BATHYTHERMOGRAPH_TOWED;SUB_PRESS;SUB_T;;BATHYTHERMOGRAPH_TOWED;CTD_PRES;CTD_TEMP
GENERIC_BATHYTHERMOMETER;SUB_PRESS;SUB_T;;BATHYTHERMOMETER;CTD_PRES;CTD_TEMP
GENERIC_BUCKET THERMOMETER;SST;;BUCKET THERMOMETER;SST_BUCKET_THERMOMETER
GENERIC_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
GENERIC_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
GENERIC_DEW POINT SENSOR;AIRTEMP;;DEW POINT SENSOR;THERMOMETER_ELECTRIC
GENERIC_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
GENERIC_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
GENERIC_ELECTRONIC HYGROMETER;HUM;;ELECTRONIC HYGROMETER;HYGROMETER_ELECTRONIC
GENERIC Fishing Vessel Probe;SUB_PRESS;SUB_T;;GENERIC Fishing Vessel Probe;CTD_PRES;CTD_TEMP
GENERIC_FLUOROMETER;CDOM;;FLUOROMETER;FLUOROMETER
GENERIC_HAIR HYGROMETER;HUM;;HAIR HYGROMETER;HYGROMETER_HAIR
GENERIC_HULL CONTACT THERMOMETER;SST;;HULL CONTACT THERMOMETER;SST_HULL_CONTACT_SENSOR
GENERIC_HYGROMETER;HUM;;HYGROMETER;HYGROMETER_GENERIC
GENERIC_IMMERSED THERMOMETER;SST;;IMMERSED THERMOMETER;SST_IMMERSED_THERMOMETER
GENERIC_LONG WAVE RADIATION;DLWRAD;;LONG WAVE RADIATION;LONG_WAVE_RADIATION
GENERIC_MERCURY BAROMETER;ATMPRESS;;MERCURY BAROMETER;BAROMETER_MERCURY
GENERIC_MERCURY THERMOMETER;AIRTEMP;SST;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB;SST_BUCKET_THERMOMETER
GENERIC_NITRATE_SENSOR;NITRATE;;NITRATE_SENSOR;NITRATE_SENSOR
GENERIC_PCO2 SYSTEM;pCO2;;PCO2 SYSTEM;PCO2_SENSOR
GENERIC_PHOTOSYNTHETIC RADIATION SENSOR;IRR;;PHOTOSYNTHETIC RADIATION SENSOR;PHOTOSYNTHETIC_RADIATION_SENSOR
GENERIC_PLANKTON RECORDER;PLANKTON;;PLANKTON RECORDER;PLANKTON_RECORDER
GENERIC_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
GENERIC_PSYCHROMETER;HUM;;PSYCHROMETER;PSYCHROMETER_GENERIC
GENERIC_PSYCHROMETER ALCOHOL;HUM;;PSYCHROMETER ALCOHOL;PSYCHROMETER_ALCOHOL
GENERIC_PSYCHROMETER ELECTRONIC;HUM;;PSYCHROMETER ELECTRONIC;PSYCHROMETER_ELECTRONIC
GENERIC_PSYCHROMETER MERCURY;HUM;;PSYCHROMETER MERCURY;PSYCHROMETER_MERCURY
GENERIC_PT100;AIRTEMP;;PT100;THERMOMETER_ELECTRIC
GENERIC_RADIOMETER;SST;;RADIOMETER;SST_RADIATION_THERMOMETER
GENERIC_RADIOSONDE_EQUIPMENT;ATMPRESS;AIRTEMP;HUM;;RADIOSONDE_EQUIPMENT;BAROMETER_GENERIC;THERMOMETER_GENERIC;HYGROMETER_GENERIC
GENERIC_RAIN GAUGE;RAIN;;RAIN GAUGE;RAIN_GAUGE
GENERIC_SEA THERMOGRAPH;SST;;SEA THERMOGRAPH;SEA_THERMOGRAPH
GENERIC_SHORT WAVE RADIATION;DSWRAD;;SHORT WAVE RADIATION;SHORT_WAVE_RADIATION
GENERIC_SOLARIMETER;DSWRAD;;SOLARIMETER;SOLARIMETER
GENERIC_SST_RADIATION_THERMOMETER;SST;;SST_RADIATION_THERMOMETER;SST_RADIATION_THERMOMETER
GENERIC_SST THERMOMETER;SST;;SST THERMOMETER;SST_GENERIC
GENERIC_SST THROUGH HULL SENSOR;SST;;SST THROUGH HULL SENSOR;SST_IMMERSED_THERMOMETER
GENERIC_SST TRAILING THERMISTOR;SST;;SST TRAILING THERMISTOR;SST_TRAILING_THERMISTOR
GENERIC_TEMP_SALINITY_DEPTH_PROBE;SUB_PRESS;SUB_SAL;SUB_T;;TEMP_SALINITY_DEPTH_PROBE;CTD_PRES;CTD_CNDC;CTD_TEMP
GENERIC_THERMOMETER;AIRTEMP;;THERMOMETER;THERMOMETER_GENERIC
GENERIC_TSG;SSS;SST;;TSG;SSS_GENERIC;SST_TSG
